Title,Author,Genres,Plot,Vote Average,Vote Count,Release Date,Large Cover URL
Mademoiselle Fifi,Guy de Maupassant,"Translations into English, Social life and customs, War in Fiction, Readers, Description and travel, French language, Travel, French Short stories, Facsimiles, Fiction, Voyages and travels, French Authors, Translations into Vietnamese, French Fantasy fiction, Manuscripts, French Manuscripts, Biography, Continental european fiction (fictional works by one author), Maupassant, guy de, 1850-1893, Sailing, Riviera (france), description and travel, Romance literature","The title story of this collection is, like many of the others, set during the Franco-Prussian war. As in so many of Maupassant’s stories he explores class barriers and looks at the contrasts between the French and German combatants.",3.7,19,1882,http://covers.openlibrary.org/b/id/6468088-L.jpg
Sky Island,"L. Frank Baum, John R. Neill","Fantasy, Children's fiction, Fantasy fiction",Button-Bright's adventures begin when he finds a magic umbrella that will carry him anywhere in the world.,3.3,29,1912,http://covers.openlibrary.org/b/id/2752804-L.jpg
Lords and Ladies,"Terry Pratchett, Nigel Planer, Tony Robinson","Fiction, Discworld (Imaginary place), Fantasy, Fiction, fantasy, general, Discworld (imaginary place), fiction, Granny weatherwax (fictitious character), fiction, Drama, Fiction, humorous, Literature and fiction (general), Literature and fiction, fantasy, English Fantasy fiction, Translations into Dutch, Witches, English literature","The fairies are back - but this time they don't just want your teeth...

Granny Weatherwax and her tiny coven are up against real elves.

It's Midsummer Night.

No times for dreaming...

With full supporting cast of dwarfs, wizards, trolls, Morris dancers and one orang-utan. And lots of hey-nonny-nonny and blood all over the place.",3.3,7,1992,http://covers.openlibrary.org/b/id/14646144-L.jpg
Fragile Things,Neil Gaiman,"Mystery, Short stories, Fiction, Fiction, fantasy, short stories, Fiction, horror, English Short stories, English Fantasy fiction, English Horror tales, New York Times reviewed, Fiction, fantasy, collections & anthologies, Large type books, Horror tales, Fantasy fiction, Horror fiction, Fiction, short stories (single author), Collections",This is a duplicate. Please update your lists. See https://openlibrary.org/works/OL679359W.,3.3,6,2006,http://covers.openlibrary.org/b/id/46488-L.jpg
Dragons of Autumn Twilight,"Margaret Weis, Tracy Hickman, Paul Boehmer, Andrew Dabb, Steve Kurth, Stefano Raffaele, Margarett Weiss","Fiction, Dragons, Fantasy, Dragonlance saga, Dragonlance Chronicles, Dungeons & Dragons Novel, collection:DragonLance, Fiction, fantasy, general, Comics & graphic novels, fantasy, general, Fiction, action & adventure, Fantastique, Romans, Powieść fantastyczna amerykańska, Tłumaczenia polskie, Krynn (Imaginary place)","Dragons.

Creatures of legend. Stories told to children.

But now dragons have returned to Krynn. The darkness of war and destruction threatens to engulf the land.

Then hope appears — a blue crystal staff in the hands of a beautiful barbarian woman. The promise of hope, as fleeting as smoke upon the autumn wind, forces a group of long-time friends into the unlikely roles of heroes.

Knight and barbarian, warrior and half-elf, dwarf and kender and dark-souled mage; they begin a perilous quest for —

the legendary Dragonlance.",3.7,1,1984,http://covers.openlibrary.org/b/id/676933-L.jpg
The Master Key,"L. Frank Baum, Fanny Y. Cory","Electricity, Fiction, Fantasy, Children's stories, Fiction, fantasy, general",A young boy accidentally summons the Demon of Electricity who gives him certain electrical gifts to show the world.,3.7,15,1901,http://covers.openlibrary.org/b/id/2838027-L.jpg
Thief of Time,Terry Pratchett,"English Fantasy fiction, Discworld (Imaginary place), Discworld (Imaginary place, Fiction, Fantasy, Science fiction, Time, Humorous fiction, Clocks and watches, Fiction, fantasy, general, Discworld (imaginary place), fiction, English literature, Fiction, humorous, Fiction, humorous, general, Translations into Spanish, Temps, Romans, nouvelles, Disque-monde (Lieu imaginaire)","In Discworld, time is a resource managed by the highly capable Monks of History. Everybody wants more time, which is why on Discworld only the experts can manage it. While everyone always talks about slowing down, one young horologist is about to do the unthinkable. He's going to stop. Well, stop time that is, by building the world's first truly accurate clock. Which means esteemed History Monk Lu-Tze and his apprentice Lobsang Ludd have to put on some speed to stop the timepiece before it starts. For if the perfect clock starts ticking, time, as we know it, will end. And then the trouble will really begin.",3.1,3,2001,http://covers.openlibrary.org/b/id/14646130-L.jpg
The Path of Daggers,Robert Jordan,"Fantasy fiction, Fiction, Imaginary wars and battles, Rand al'Thor (Fictitious character), Science fiction, Fantasy, Fiction, fantasy, epic, Rand al'thor (fictitious character), fiction, series, dragon reborn, wheel of time, Fiction, fantasy, general, American Fantasy fiction, Rand Al'Thor (Fictitious character.), American literature, Bibliography","From Publishers Weekly
The eighth book of Jordan's bestselling The Wheel of Time saga (A Crown of Swords, etc.) opens with a renewed invasion by the Seanchans, a conquering race whose arsenal includes man-carrying flying reptiles and enslaved female magic-workers as well as powerful soldiers, many of whom have joined the Seanchans out of fear of the Dragon Reborn. The Dragon himself, Rand al'Thor, appears in only a small part of the narrative, but during that time he endures the ugly experience of seeing his magic kill his friends, heightening his fear that his destiny is to slay everyone he cares about. The first third of the book is a little slower paced than is usual for Jordan, emphasizing the growth of relationships, but the action picks up soon enough. More compact than some previous volumes in the saga, this one has the virtues readers have come to expect from the author: meticulous world-building; deft use of multiple viewpoints; highly original and intelligent systems of magic; an admirable wit; and a continuous awareness of the fate of the turnip farmer or peddler caught in the path of the heroes' armies. Unlike some authors of megasagas, Jordan chooses his words with care, creating people and events that have earned him an enormous readership. For sheer imagination and storytelling skill, if not quite for mythic resonance, The Wheel of Time now rivals Tolkien's The Lord of the Rings.",3.6,11,1998,http://covers.openlibrary.org/b/id/182462-L.jpg
My Secret Garden,Nancy Friday,"Sexualité (Psychologie), Fantasmes sexuels, Femmes, Sexualité, Sexual behavior, Women, Sex (Psychology), Sexual fantasies, Women, sexual behavior, Erotica, Psychology, Affective and dynamic functions, Sexology","First published in 1973, My Secret Garden ignited a firestorm of reactions across the nation—from outrage to enthusiastic support. Collected from detailed personal interviews with hundreds of women from diverse backgrounds, this book presents a bracingly honest account of women’s inner sexual fantasy lives. In its time, this book shattered taboos and opened up a conversation about the landscape of feminine desire in a way that was unprecedented. 

Today, My Secret Garden remains one of the most iconic works of feminist literature of our time—and is still relevant to millions of women throughout the world.",3.5,37,1973,http://covers.openlibrary.org/b/id/2787375-L.jpg
The Eyre Affair,"Jasper Fforde, Roxane Azimi, Jasper Fforde","Books and reading, Thursday Next (Fictitious character), Crimean War, 1853-1856, Women detectives, Fiction, Fathers and daughters, Censorship, Characters and characteristics in literature, Large type books, Fiction, historical, general, Fiction, fantasy, contemporary, England, fiction, Fathers and daughters, fiction, Next, thursday (fictitious character), fiction, Kriminalfall, Dickens, Charles / The life and adventures of Martin Chuzzlewit, Farce, Phantasiewelt, Literarische Gestalt, Manuskript, Detektivin, Belletristische Darstellung, Literature and fiction, fantasy, Fiction, historical, Fathers and daughters-Fiction, Father-daughter relationship, Alternative histories, Fantasy fiction","The Eyre Affair

Great Britain circa 1985: time travel is routine, cloning is a reality (dodos are the resurrected pet of choice), and literature is taken very, very seriously. Baconians are trying to convince the world that Francis Bacon really wrote Shakespeare, there are riots between the Surrealists and Impressionists, and thousands of men are named John Milton, an homage to the real Milton and a very confusing situation for the police. Amidst all this, Acheron Hades, Third Most Wanted Man In the World, steals the original manuscript of Martin Chuzzlewit and kills a minor character, who then disappears from every volume of the novel ever printed! But that's just a prelude . . . Hades' real target is the beloved Jane Eyre, and it's not long before he plucks her from the pages of Bronte's novel. Enter Thursday Next. She's the Special Operative's renowned literary detective, and she drives a Porsche. With the help of her uncle Mycroft's Prose Portal, Thursday enters the novel to rescue Jane Eyre from this heinous act of literary homicide. It's tricky business, all these interlopers running about Thornfield, and deceptions run rampant as their paths cross with Jane, Rochester, and Miss Fairfax. Can Thursday save Jane Eyre and Bronte's masterpiece? And what of the Crimean War? Will it ever end? And what about those annoying black holes that pop up now and again, sucking things into time-space voids . . . Suspenseful and outlandish, absorbing and fun, The Eyre Affair is a caper unlike any other and an introduction to the imagination of a most distinctive writer and his singular fictional universe. Next up in the Thursday Next series: Lost in a Good Book. Read more about it at thursdaynext.com.",3.4,19,2001,http://covers.openlibrary.org/b/id/2401550-L.jpg
